シーズン,試合タイプ,チーム,背番号,選手名,勝利,敗北,セーブ,ホールド,ホールドポイント,登板数,投球回,勝率,防御率,WHIP,失点率,試合あたり失点,被安打率,被本塁打率,奪三振率,与四球率,奪三振/四球比,対戦打者数,被安打,失点,自責点,被本塁打,奪三振,与四球,敬遠,死球,暴投,ボーク,完投,完封,無四球試合,先発数,救援完了,選手ID
2024,Regular Season,阪神タイガース,15,"Nishi, Junya",0,1,0,0.0,0.0,4,6.2,0.0,2.7,1.2,2.7,0.5,6.75,0.0,0.0,4.05,0.0,28,5,2,2,0,0,3,1,0,0,0,0,0,0,0,3,91495151
2024,Regular Season,ヤクルトスワローズ,49,"Kayama, Shinya",0,0,0,1.0,1.0,9,4.1,0.0,14.54,2.769,14.538,0.778,24.923,0.0,8.308,0.0,,24,12,7,7,0,4,0,0,0,0,0,0,0,0,0,0,91595135
2024,Climax Series - First Stage,千葉ロッテ,28,"Kikuchi, Riku",0,0,0,,,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,91595157
2024,Regular Season,千葉ロッテ,28,"Kikuchi, Riku",1,0,1,2.0,3.0,20,24.0,1.0,2.25,1.083,2.25,0.3,7.875,1.125,10.125,1.875,5.4,97,21,6,6,3,27,5,2,2,0,0,0,0,0,0,9,91595157
2024,Regular Season,西武ライオンズ,25,"Hirai, Katsunori",0,0,0,4.0,4.0,13,9.2,0.0,4.66,1.759,4.655,0.385,13.034,0.931,5.586,2.793,2.0,46,14,5,5,1,6,3,0,0,0,0,0,0,0,0,2,91695134
2024,Regular Season,楽天イーグルス,11,"Kishi, Takayuki",6,11,0,0.0,0.0,22,143.1,0.353,2.83,1.207,3.265,2.364,9.042,0.816,4.584,1.821,2.517,590,144,52,45,13,73,29,1,2,1,0,3,2,1,22,0,91795114
2024,Regular Season,阪神タイガース,37,"Oyokawa, Masaki",1,3,0,0.0,0.0,9,29.1,0.25,2.76,1.193,3.375,1.222,7.67,0.614,7.057,3.068,2.3,121,25,11,9,2,23,10,1,0,2,0,1,0,0,5,3,91795151
2024,Regular Season,読売巨人,14,"Kyomoto, Makoto",0,0,0,0.0,0.0,4,5.0,0.0,3.6,1.2,3.6,0.5,7.2,0.0,5.4,3.6,1.5,20,4,2,2,0,3,2,1,1,0,0,0,0,0,0,1,91795155
2024,Regular Season,広島カープ,26,"Masuda, Takehisa",0,0,0,3.0,3.0,10,8.1,0.0,6.48,2.16,6.48,0.6,12.96,2.16,9.72,6.48,1.5,45,12,6,6,2,9,6,0,2,0,0,0,0,0,0,0,91895157
2024,Climax Series - Final Stage,ソフトバンク,40,"Sugiyama, Kazuki",0,0,0,,,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,91995138
2024,Japan Series,ソフトバンク,40,"Sugiyama, Kazuki",0,0,0,,,3,4.0,0.0,2.25,1.0,2.25,0.333,6.75,0.0,2.25,2.25,1.0,16,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,91995138
2024,Regular Season,ソフトバンク,40,"Sugiyama, Kazuki",4,0,1,14.0,18.0,50,50.1,1.0,1.61,0.993,1.788,0.2,5.007,0.358,10.907,3.934,2.773,198,28,10,9,2,61,22,0,1,1,0,0,0,0,0,10,91995138
2024,Regular Season,中日ドラゴンズ,33,"Sobue, Daisuke",0,0,0,4.0,4.0,28,28.1,0.0,2.86,1.129,4.129,0.464,8.259,1.271,4.765,1.906,2.5,116,26,13,9,4,15,6,1,0,1,0,0,0,0,0,12,91995139
2024,Regular Season,広島カープ,20,"Kuribayashi, Ryoji",0,6,38,12.0,12.0,60,55.0,0.0,1.96,0.891,2.291,0.233,5.4,0.491,10.636,2.618,4.063,214,33,14,12,3,65,16,2,2,3,0,0,0,0,0,47,91995153
2024,Regular Season,ソフトバンク,38,"Sawayanagi, Ryotaro",2,1,0,0.0,2.0,11,10.2,0.667,3.38,1.031,3.375,0.364,5.906,0.0,7.594,3.375,2.25,42,7,4,4,0,9,4,0,1,1,0,0,0,0,0,5,91995159
2024,Regular Season,読売巨人,65,"Mendez, Yohander",0,2,0,0.0,0.0,2,4.1,0.0,12.46,3.0,16.615,4.0,12.462,0.0,8.308,14.538,0.571,27,6,8,6,0,4,7,0,0,0,0,0,0,0,2,0,93095157
2024,Climax Series - Final Stage,横浜DeNA,45,"Morihara, Kohei",0,0,3,,,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,93195134
2024,Climax Series - First Stage,横浜DeNA,45,"Morihara, Kohei",0,0,1,,,1,1.0,0.0,9.0,3.0,9.0,1.0,27.0,0.0,9.0,0.0,,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,93195134
2024,Japan Series,横浜DeNA,45,"Morihara, Kohei",0,0,1,,,2,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.5,4.5,1.0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,93195134
2024,Regular Season,横浜DeNA,45,"Morihara, Kohei",2,6,29,11.0,13.0,58,59.2,0.25,2.41,1.106,2.715,0.31,8.145,0.453,8.899,1.81,4.917,247,54,18,16,3,59,12,4,1,0,0,0,0,0,0,43,93195134
2024,Regular Season,ヤクルトスワローズ,43,"Yamamoto, Daiki",3,0,1,12.0,15.0,44,31.2,1.0,1.42,1.042,1.705,0.136,5.116,0.0,8.811,4.263,2.067,126,18,6,5,0,31,15,3,0,2,0,0,0,0,0,6,93195136
